code,parent,label_en
463,46,"Wholesale of food, beverages and tobacco"
4631,463,Wholesale of fruit and vegetables
4632,463,"Wholesale of meat, meat products, fish and fish products"
4633,463,"Wholesale of dairy products, eggs and edible oils and fats"
4634,463,Wholesale of beverages
4635,463,Wholesale of tobacco products
4636,463,"Wholesale of sugar, chocolate and sugar confectionery"
4637,463,"Wholesale of coffee, tea, cocoa and spices"
4638,463,Wholesale of other food
4639,463,"Non-specialised wholesale of food, beverages and tobacco"
464,46,Wholesale of household goods
4641,464,Wholesale of textiles
4642,464,Wholesale of clothing and footwear
4643,464,Wholesale of electrical household appliances
4644,464,Wholesale of china and glassware and cleaning materials
4645,464,Wholesale of perfume and cosmetics
4646,464,Wholesale of pharmaceutical and medical goods
4647,464,"Wholesale of household, office and shop furniture, carpets and lighting equipment"
4648,464,Wholesale of watches and jewellery
4649,464,Wholesale of other household goods
465,46,Wholesale of information and communication equipment
4650,465,Wholesale of information and communication equipment
466,46,"Wholesale of other machinery, equipment and supplies"
4661,466,"Wholesale of agricultural machinery, equipment and supplies"
4662,466,Wholesale of machine tools
4663,466,"Wholesale of mining, construction and civil engineering machinery"
4664,466,Wholesale of other machinery and equipment
467,46,"Wholesale of motor vehicles, motorcycles and related parts and accessories"
4671,467,Wholesale of motor vehicles
4672,467,Wholesale of motor vehicle parts and accessories
4673,467,"Wholesale of motorcycles, motorcycle parts and accessories"
468,46,Other specialised wholesale
4681,468,"Wholesale of solid, liquid and gaseous fuels and related products"
4682,468,Wholesale of metals and metal ores
4683,468,"Wholesale of wood, construction materials and sanitary equipment"
4684,468,"Wholesale of hardware, plumbing and heating equipment and supplies"
4685,468,Wholesale of chemical products
4686,468,Wholesale of other intermediate products
4687,468,Wholesale of waste and scrap
4689,468,Other specialised wholesale n.e.c.
469,46,Non-specialised wholesale trade
4690,469,Non-specialised wholesale trade
47,G,Retail trade
471,47,Non-specialised retail sale
4711,471,"Non-specialised retail sale of predominately food, beverages or tobacco"
4712,471,Other non-specialised retail sale
472,47,"Retail sale of food, beverages and tobacco"
4721,472,Retail sale of fruit and vegetables
4722,472,Retail sale of meat and meat products
4723,472,"Retail sale of fish, crustaceans and molluscs"
4724,472,"Retail sale of bread, cake and confectionery"
4725,472,Retail sale of beverages
4726,472,Retail sale of tobacco products
4727,472,Retail sale of other food
473,47,Retail sale of automotive fuel
4730,473,Retail sale of automotive fuel
474,47,Retail sale of information and communication equipment
4740,474,Retail sale of information and communication equipment
475,47,Retail sale of other household equipment
4751,475,Retail sale of textiles
4752,475,"Retail sale of hardware, building materials, paints and glass"
4753,475,"Retail sale of carpets, rugs, wall and floor coverings"
4754,475,Retail sale of electrical household appliances
4755,475,"Retail sale of furniture, lighting equipment, tableware and other household goods"
476,47,Retail sale of cultural and recreational goods
4761,476,Retail sale of books
4762,476,"Retail sale of newspapers, and other periodical publications and stationery"
4763,476,Retail sale of sporting equipment
4764,476,Retail sale of games and toys
4769,476,Retail sale of cultural and recreational goods n.e.c.
477,47,"Retail sale of other goods, except motor vehicles and motorcycles"
4771,477,Retail sale of clothing
4772,477,Retail sale of footwear and leather goods
4773,477,Retail sale of pharmaceutical products
4774,477,Retail sale of medical and orthopaedic goods
4775,477,Retail sale of cosmetic and toilet articles
4776,477,"Retail sale of flowers, plants, fertilisers, pets and pet food"
4777,477,Retail sale of watches and jewellery
4778,477,Retail sale of other new goods
4779,477,Retail sale of second-hand goods
478,47,"Retail sale of motor vehicles, motorcycles and related parts and accessories"
4781,478,Retail sale of motor vehicles
4782,478,Retail sale of motor vehicle parts and accessories
4783,478,"Retail sale of motorcycles, motorcycle parts and accessories"
479,47,Intermediation service activities for retail sale
4791,479,Intermediation service activities for non-specialised retail sale
4792,479,Intermediation service activities for specialised retail sale
H,,TRANSPORTATION AND STORAGE
49,H,Land transport and transport via pipelines
491,49,Passenger rail transport
4911,491,Passenger heavy rail transport
4912,491,Other passenger rail transport
492,49,Freight rail transport
4920,492,Freight rail transport
493,49,Other passenger land transport
4931,493,Scheduled passenger transport by road
4932,493,Non-scheduled passenger transport by road
4933,493,On-demand passenger transport service activities by vehicle with driver
4934,493,Passenger transport by cableways and ski lifts
4939,493,Other passenger land transport n.e.c.
494,49,Freight transport by road and removal services
4941,494,Freight transport by road
4942,494,Removal services
495,49,Transport via pipeline
4950,495,Transport via pipeline
50,H,Water transport
501,50,Sea and coastal passenger water transport
5010,501,Sea and coastal passenger water transport
502,50,Sea and coastal freight water transport
5020,502,Sea and coastal freight water transport
503,50,Inland passenger water transport
5030,503,Inland passenger water transport
504,50,Inland freight water transport
5040,504,Inland freight water transport
51,H,Air transport
511,51,Passenger air transport
5110,511,Passenger air transport
512,51,Freight air transport and space transport
5121,512,Freight air transport
5122,512,Space transport
52,H,"Warehousing, storage and support activities for transportation"
521,52,Warehousing and storage
5210,521,Warehousing and storage
522,52,Support activities for transportation
5221,522,Service activities incidental to land transportation
5222,522,Service activities incidental to water transportation
5223,522,Service activities incidental to air transportation
5224,522,Cargo handling
5225,522,Logistics service activities
5226,522,Other support activities for transportation
523,52,Intermediation service activities for transportation
5231,523,Intermediation service activities for freight transportation
5232,523,Intermediation service activities for passenger transportation
53,H,Postal and courier activities
531,53,Postal activities under universal service obligation
5310,531,Postal activities under universal service obligation
532,53,Other postal and courier activities
5320,532,Other postal and courier activities
533,53,Intermediation service activities for postal and courier activities
5330,533,Intermediation service activities for postal and courier activities
I,,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
55,I,Accommodation
551,55,Hotels and similar accommodation
5510,551,Hotels and similar accommodation
552,55,Holiday and other short-stay accommodation
5520,552,Holiday and other short-stay accommodation
553,55,Camping grounds and recreational vehicle parks
5530,553,Camping grounds and recreational vehicle parks
554,55,Intermediation service activities for accommodation
5540,554,Intermediation service activities for accommodation
559,55,Other accommodation
5590,559,Other accommodation
56,I,Food and beverage service activities
561,56,Restaurants and mobile food service activities
5611,561,Restaurant activities
5612,561,Mobile food service activities
562,56,"Event catering, contract catering service activities and other food service activities"
5621,562,Event catering activities
5622,562,Contract catering service activities and other food service activities
563,56,Beverage serving activities
5630,563,Beverage serving activities
564,56,Intermediation service activities for food and beverage services activities
5640,564,Intermediation service activities for food and beverage services activities
J,,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES"
58,J,Publishing activities
581,58,"Publishing of books, newspapers and other publishing activities, except software publishing"
5811,581,Publishing of books
5812,581,Publishing of newspapers
5813,581,Publishing of journals and periodicals
5819,581,"Other publishing activities, except software publishing"
582,58,Software publishing
5821,582,Publishing of video games
5829,582,Other software publishing
59,J,"Motion picture, video and television programme production, sound recording and music publishing activities"
591,59,"Motion picture, video and television programme activities"
5911,591,"Motion picture, video and television programme production activities"
5912,591,"Motion picture, video and television programme post-production activities"
5913,591,Motion picture and video distribution activities
5914,591,Motion picture projection activities
592,59,Sound recording and music publishing activities
5920,592,Sound recording and music publishing activities
60,J,"Programming, broadcasting, news agency and other content distribution activities"
601,60,Radio broadcasting and audio distribution activities
6010,601,Radio broadcasting and audio distribution activities
602,60,"Television programming, broadcasting and video distribution activities"
6020,602,"Television programming, broadcasting and video distribution activities"
603,60,News agency and other content distribution activities
6031,603,News agency activities
6039,603,Other content distribution activities
K,,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
61,K,Telecommunication
611,61,"Wired, wireless, and satellite telecommunication activities"
6110,611,"Wired, wireless, and satellite telecommunication activities"
612,61,Telecommunication reselling activities and intermediation service activities for telecommunication
6120,612,Telecommunication reselling activities and intermediation service activities for telecommunication
619,61,Other telecommunication activities
6190,619,Other telecommunication activities
62,K,"Computer programming, consultancy and related activities"
621,62,Computer programming activities
6210,621,Computer programming activities
622,62,Computer consultancy and computer facilities management activities
6220,622,Computer consultancy and computer facilities management activities
629,62,Other information technology and computer service activities
6290,629,Other information technology and computer service activities
63,K,"Computing infrastructure, data processing, hosting and other information service activities"
631,63,"Computing infrastructure, data processing, hosting and related activities"
6310,631,"Computing infrastructure, data processing, hosting and related activities"
639,63,Web search portal activities and other information service activities
6391,639,Web search portal activities
6392,639,Other information service activities
L,,FINANCIAL AND INSURANCE ACTIVITIES
64,L,"Financial service activities, except insurance and pension funding"
641,64,Monetary intermediation
6411,641,Central banking
6419,641,Other monetary intermediation
642,64,Activities of holding companies and financing conduits
6421,642,Activities of holding companies
6422,642,Activities of financing conduits
643,64,"Activities of trusts, funds and similar financial entities"
6431,643,Activities of money market and non-money market investments funds
6432,643,"Activities of trust, estate and agency accounts"
649,64,"Other financial service activities, except insurance and pension funding"
6491,649,Financial leasing
6492,649,Other credit granting
6499,649,"Other financial service activities, except insurance and pension funding n.e.c."
65,L,"Insurance, reinsurance and pension funding, except compulsory social security"
651,65,Insurance
6511,651,Life insurance
6512,651,Non-life insurance
652,65,Reinsurance
6520,652,Reinsurance
653,65,Pension funding
6530,653,Pension funding
66,L,Activities auxiliary to financial services and insurance activities
661,66,"Activities auxiliary to financial services, except insurance and pension funding"
6611,661,Administration of financial markets
6612,661,Security and commodity contracts brokerage
6619,661,"Other activities auxiliary to financial services, except insurance and pension funding"
662,66,Activities auxiliary to insurance and pension funding
6621,662,Risk and damage evaluation
6622,662,Activities of insurance agents and brokers
6629,662,Activities auxiliary to insurance and pension funding n.e.c.
663,66,Fund management activities
6630,663,Fund management activities
M,,REAL ESTATE ACTIVITIES
68,M,Real estate activities
681,68,Real estate activities with own property and development of building projects
6811,681,Buying and selling of own real estate
6812,681,Development of building projects
682,68,Rental and operating of own or leased real estate
6820,682,Rental and operating of own or leased real estate
683,68,Real estate activities on a fee or contract basis
6831,683,Intermediation service activities for real estate activities
6832,683,Other real estate activities on a fee or contract basis
N,,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
69,N,Legal and accounting activities
691,69,Legal activities
6910,691,Legal activities
692,69,"Accounting, bookkeeping and auditing activities; tax consultancy"
6920,692,"Accounting, bookkeeping and auditing activities; tax consultancy"
70,N,Activities of head offices and management consultancy
701,70,Activities of head offices
7010,701,Activities of head offices
702,70,Business and other management consultancy activities
7020,702,Business and other management consultancy activities
71,N,Architectural and engineering activities; technical testing and analysis
711,71,Architectural and engineering activities and related technical consultancy
7111,711,Architectural activities
7112,711,Engineering activities and related technical consultancy
712,71,Technical testing and analysis
7120,712,Technical testing and analysis
72,N,Scientific research and development
721,72,Research and experimental development on natural sciences and engineering
7210,721,Research and experimental development on natural sciences and engineering
722,72,Research and experimental development on social sciences and humanities
7220,722,Research and experimental development on social sciences and humanities
73,N,"Activities of advertising, market research and public relations"
731,73,Advertising
7311,731,Activities of advertising agencies
7312,731,Media representation
732,73,Market research and public opinion polling
7320,732,Market research and public opinion polling
733,73,Public relations and communication activities
7330,733,Public relations and communication activities
74,N,"Other professional, scientific and technical activities"
741,74,Specialised design activities
7411,741,Industrial product and fashion design activities
7412,741,Graphic design and visual communication activities
7413,741,Interior design activities
7414,741,Other specialised design activities
742,74,Photographic activities
7420,742,Photographic activities
743,74,Translation and interpretation activities
7430,743,Translation and interpretation activities
749,74,"Other professional, scientific and technical activities n.e.c."
7491,749,Patent brokering and marketing service activities
7499,749,"All other professional, scientific and technical activities n.e.c."
75,N,Veterinary activities
750,75,Veterinary activities
7500,750,Veterinary activities
O,,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
77,O,Rental and leasing activities
771,77,Rental and leasing of motor vehicles
7711,771,Rental and leasing of cars and light motor vehicles
7712,771,Rental and leasing of trucks
772,77,Rental and leasing of personal and household goods
7721,772,Rental and leasing of recreational and sports goods
7722,772,Rental and leasing of other personal and household goods
773,77,"Rental and leasing of other machinery, equipment and tangible goods"
7731,773,Rental and leasing of agricultural machinery and equipment
7732,773,Rental and leasing of construction and civil engineering machinery and equipment
7733,773,"Rental and leasing of office machinery, equipment and computers"
7734,773,Rental and leasing of water transport equipment
7735,773,Rental and leasing of air transport equipment
7739,773,"Rental and leasing of other machinery, equipment and tangible goods n.e.c."
774,77,"Leasing of intellectual property and similar products, except copyrighted works"
7740,774,"Leasing of intellectual property and similar products, except copyrighted works"
775,77,Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets
7751,775,"Intermediation service activities for rental and leasing of cars, motorhomes and trailers"
7752,775,Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets
78,O,Employment activities
781,78,Activities of employment placement agencies
7810,781,Activities of employment placement agencies
782,78,Temporary employment agency activities and other human resource provisions
7820,782,Temporary employment agency activities and other human resource provisions
79,O,"Travel agency, tour operator and other reservation service and related activities"
791,79,Travel agency and tour operator activities
7911,791,Travel agency activities
7912,791,Tour operator activities
799,79,Other reservation service and related activities
7990,799,Other reservation service and related activities
80,O,Investigation and security activities
800,80,Investigation and security activities
8001,800,Investigation and private security activities
8009,800,Security activities n.e.c.
81,O,Services to buildings and landscape activities
811,81,Combined facilities support activities
8110,811,Combined facilities support activities
812,81,Cleaning activities
8121,812,General cleaning of buildings
8122,812,Other building and industrial cleaning activities
8123,812,Other cleaning activities
813,81,Landscape service activities
8130,813,Landscape service activities
82,O,"Office administrative, office support and other business support activities"
821,82,Office administrative and support activities
8210,821,Office administrative and support activities
822,82,Activities of call centres
8220,822,Activities of call centres
823,82,Organisation of conventions and trade shows
8230,823,Organisation of conventions and trade shows
824,82,Intermediation service activities for business support service activities n.e.c.
8240,824,Intermediation service activities for business support service activities n.e.c.
829,82,Business support service activities n.e.c.
8291,829,Activities of collection agencies and credit bureaus
8292,829,Packaging activities
8299,829,Other business support service activities n.e.c.
P,,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
84,P,Public administration and defence; compulsory social security
841,84,"Administration of the State and the economic, social and environmental policies of the community"
8411,841,General public administration activities
8412,841,"Regulation of health care, education, cultural services and other social services"
8413,841,Regulation of and contribution to more efficient operation of businesses
842,84,Provision of services to the community as a whole
8421,842,Foreign affairs
8422,842,Defence activities
8423,842,Justice and judicial activities
8424,842,Public order and safety activities
8425,842,Fire service activities
843,84,Compulsory social security activities
8430,843,Compulsory social security activities
Q,,EDUCATION
85,Q,Education
851,85,Pre-primary education
8510,851,Pre-primary education
852,85,Primary education
8520,852,Primary education
853,85,Secondary and post-secondary non-tertiary education
8531,853,General secondary education
8532,853,Vocational secondary education
8533,853,Post-secondary non-tertiary education
854,85,Tertiary education
8540,854,Tertiary education
855,85,Other education
8551,855,Sports and recreation education
8552,855,Cultural education
8553,855,Driving school activities
8559,855,Other education n.e.c.
856,85,Educational support activities
8561,856,Intermediation service activities for courses and tutors
8569,856,Educational support activities n.e.c.
R,,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
86,R,Human health activities
861,86,Hospital activities
8610,861,Hospital activities
862,86,Medical and dental practice activities
8621,862,General medical practice activities
8622,862,Medical specialists activities
8623,862,Dental practice care activities
869,86,Other human health activities
8691,869,Diagnostic imaging services and medical laboratory activities
8692,869,Patient transportation by ambulance
8693,869,"Activities of psychologists and psychotherapists, except medical doctors"
8694,869,Nursing and midwifery activities
8695,869,Physiotherapy activities
8696,869,"Traditional, complementary and alternative medicine activities"
8697,869,"Intermediation service activities for medical, dental and other human health services"
8699,869,Other human health activities n.e.c.
87,R,Residential care activities
871,87,Residential nursing care activities
8710,871,Residential nursing care activities
872,87,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse
8720,872,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse
873,87,Residential care activities for older persons or persons with physical disabilities
8730,873,Residential care activities for older persons or persons with physical disabilities
879,87,Other residential care activities
8791,879,Intermediation service activities for residential care activities
8799,879,Other residential care activities n.e.c.
88,R,Social work activities without accommodation
881,88,Social work activities without accommodation for older persons or persons with disabilities
8810,881,Social work activities without accommodation for older persons or persons with disabilities
889,88,Other social work activities without accommodation
8891,889,Child day-care activities
8899,889,Other social work activities without accommodation n.e.c.
S,,"ARTS, SPORTS AND RECREATION"
90,S,Arts creation and performing arts activities
901,90,Arts creation activities
9011,901,Literary creation and musical composition activities
9012,901,Visual arts creation activities
9013,901,Other arts creation activities
902,90,Activities of performing arts
9020,902,Activities of performing arts
903,90,Support activities to arts creation and performing arts
9031,903,Operation of arts facilities and sites
9039,903,Other support activities to arts and performing arts
91,S,"Libraries, archives, museums and other cultural activities"
911,91,Library and archive activities
9111,911,Library activities
9112,911,Archive activities
912,91,"Museum, collection, historical site and monument activities"
9121,912,Museum and collection activities
9122,912,Historical site and monument activities
913,91,"Conservation, restoration and other support activities for cultural heritage"
9130,913,"Conservation, restoration and other support activities for cultural heritage"
914,91,Botanical and zoological garden and nature reserve activities
9141,914,Botanical and zoological garden activities
9142,914,Nature reserve activities
92,S,Gambling and betting activities
920,92,Gambling and betting activities
9200,920,Gambling and betting activities
93,S,Sports activities and amusement and recreation activities
931,93,Sports activities
9311,931,Operation of sports facilities
9312,931,Activities of sports clubs
9313,931,Activities of fitness centres
9319,931,Sports activities n.e.c.
932,93,Amusement and recreation activities
9321,932,Activities of amusement parks and theme parks
9329,932,Amusement and recreation activities n.e.c.
T,,OTHER SERVICE ACTIVITIES
94,T,Activities of membership organisations
941,94,"Activities of business, employers and professional membership organisations"
9411,941,Activities of business and employers membership organisations
9412,941,Activities of professional membership organisations
942,94,Activities of trade unions
9420,942,Activities of trade unions
949,94,Activities of other membership organisations
9491,949,Activities of religious organisations
9492,949,Activities of political organisations
9499,949,Activities of other membership organisations n.e.c.
95,T,"Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
951,95,Repair and maintenance of computers and communication equipment
9510,951,Repair and maintenance of computers and communication equipment
952,95,Repair and maintenance of personal and household goods
9521,952,Repair and maintenance of consumer electronics
9522,952,Repair and maintenance of household appliances and home and garden equipment
9523,952,Repair and maintenance of footwear and leather goods
9524,952,Repair and maintenance of furniture and home furnishings
9525,952,"Repair and maintenance of watches, clocks and jewellery"
9529,952,Repair and maintenance of personal and household goods n.e.c.
953,95,Repair and maintenance of motor vehicles and motorcycles
9531,953,Repair and maintenance of motor vehicles
9532,953,Repair and maintenance of motorcycles
954,95,"Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
9540,954,"Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
96,T,Personal service activities
961,96,Washing and cleaning of textile and fur products
9610,961,Washing and cleaning of textile and fur products
962,96,"Hairdressing, beauty treatment, day spa and similar activities"
9621,962,Hairdressing and barber activities
9622,962,Beauty care and other beauty treatment activities
9623,962,"Day spa, sauna and steam bath activities"
963,96,Funeral and related activities
9630,963,Funeral and related activities
964,96,Intermediation service activities for personal services
9640,964,Intermediation service activities for personal services
969,96,Other personal service activities
9691,969,Provision of domestic personal service activities
9699,969,Other personal service activities n.e.c.
U,,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE
97,U,Activities of households as employers of domestic personnel
970,97,Activities of households as employers of domestic personnel
9700,970,Activities of households as employers of domestic personnel
98,U,Undifferentiated goods- and service-producing activities of private households for own use
981,98,Undifferentiated goods-producing activities of private households for own use
9810,981,Undifferentiated goods-producing activities of private households for own use
982,98,Undifferentiated service-producing activities of private households for own use
9820,982,Undifferentiated service-producing activities of private households for own use
V,,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES
99,V,Activities of extraterritorial organisations and bodies
990,99,Activities of extraterritorial organisations and bodies
9900,990,Activities of extraterritorial organisations and bodies
